Louvain_cluster,Cluster_Label,Cluster_Index,Celltype,Stage
14040,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14041,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
14042,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14043,S14-posterior placodal area,18,posterior placodal area,S14
14044,S14-epidermal - collagen,10,epidermal - collagen,S14
14045,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14046,S14-neural crest,24,neural crest,S14
14047,S14-endoderm,25,endoderm,S14
14048,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
14049,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14050,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14051,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14052,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14053,S14-eye primordium,9,eye primordium,S14
14054,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
14055,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
14056,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14057,S14-anterior neural plate - fezf1,4,anterior neural plate - fezf1,S14
14058,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14059,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14060,S14-presomitic mesoderm,27,presomitic mesoderm,S14
14061,S14-tail bud,3,tail bud,S14
14062,S14-ionocyte,21,ionocyte,S14
14063,S14-cement gland primordium,26,cement gland primordium,S14
14064,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
14065,S14-somite,14,somite,S14
14066,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14067,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14068,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14069,S14-tail bud,3,tail bud,S14
14070,S14-posterior placodal area,18,posterior placodal area,S14
14071,S14-tail bud,3,tail bud,S14
14072,S14-presomitic mesoderm,27,presomitic mesoderm,S14
14073,S14-neural crest,24,neural crest,S14
14074,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14075,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14076,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14077,S14-tail bud,3,tail bud,S14
14078,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
14079,S14-presomitic mesoderm,27,presomitic mesoderm,S14
14080,S14-epidermal - collagen,10,epidermal - collagen,S14
14081,S14-presomitic mesoderm,27,presomitic mesoderm,S14
14082,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14083,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
14084,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14085,S14-presomitic mesoderm,27,presomitic mesoderm,S14
14086,S14-neural crest,24,neural crest,S14
14087,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
14088,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14089,S14-early neuron,2,early neuron,S14
14090,S14-somite,14,somite,S14
14091,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14092,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14093,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
14094,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
14095,S14-eye primordium,9,eye primordium,S14
14096,S14-epidermal - ctbs,11,epidermal - ctbs,S14
14097,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
14098,S14-posterior placodal area,18,posterior placodal area,S14
14099,S14-posterior placodal area,18,posterior placodal area,S14
14100,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14101,S14-epidermal - ctbs,11,epidermal - ctbs,S14
14102,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14103,S14-epidermal - collagen,10,epidermal - collagen,S14
14104,S14-epidermal - collagen,10,epidermal - collagen,S14
14105,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14106,S14-posterior placodal area,18,posterior placodal area,S14
14107,S14-presomitic mesoderm,27,presomitic mesoderm,S14
14108,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
14109,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14110,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14111,S14-somite,14,somite,S14
14112,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14113,S14-tail bud,3,tail bud,S14
14114,S14-early neuron,2,early neuron,S14
14115,S14-tail bud,3,tail bud,S14
14116,S14-Spemann organizer (endoderm),29,Spemann organizer (endoderm),S14
14117,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
14118,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14119,S14-early neuron,2,early neuron,S14
14120,S14-presomitic mesoderm,27,presomitic mesoderm,S14
14121,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
